title,vote_average,vote_count,overview,popularity,genres,worth_watching,clean_overview
American Beauty,8,11260,"Lester Burnham, a depressed suburban father in a mid-life crisis, decides to turn his hectic life around after developing an infatuation with his daughter's attractive friend.",29.837,Drama,1,lester burnham depressed suburban father midlife crisis decides turn his hectic life around after developing infatuation his daughters attractive friend
Prometheus,6.535,11255,"A team of explorers discover a clue to the origins of mankind on Earth, leading them on a journey to the darkest corners of the universe. There, they must fight a terrifying battle to save the future of the human race.",60.299,"Science Fiction, Adventure, Mystery",0,team explorers discover clue origins mankind earth leading them journey darkest corners universe there they must fight terrifying battle save future human race
The Social Network,7.358,11190,"The tale of a new breed of cultural insurgent: a punk genius who sparked a revolution and changed the face of human interaction for a generation, and perhaps forever.",36.101,Drama,1,tale new breed cultural insurgent punk genius who sparked revolution changed face human interaction generation perhaps forever
Pirates of the Caribbean: Dead Men Tell No Tales,6.648,11176,"Thrust into an all-new adventure, a down-on-his-luck Capt. Jack Sparrow feels the winds of ill-fortune blowing even more strongly when deadly ghost sailors led by his old nemesis, the evil Capt. Salazar, escape from the Devil's Triangle. Jack's only hope of survival lies in seeking out the legendary Trident of Poseidon, but to find it, he must forge an uneasy alliance with a brilliant and beautiful astronomer and a headstrong young man in the British navy.",62.006,"Adventure, Action, Fantasy",0,thrust into allnew adventure downonhisluck capt jack sparrow feels winds illfortune blowing even more strongly when deadly ghost sailors led his old nemesis evil capt salazar escape devils triangle jacks only hope survival lies seeking out legendary trident poseidon but find he must forge uneasy alliance brilliant beautiful astronomer headstrong young man british navy
Knives Out,7.847,11156,"When renowned crime novelist Harlan Thrombey is found dead at his estate just after his 85th birthday, the inquisitive and debonair Detective Benoit Blanc is mysteriously enlisted to investigate. From Harlan's dysfunctional family to his devoted staff, Blanc sifts through a web of red herrings and self-serving lies to uncover the truth behind Harlan's untimely death.",39.064,"Comedy, Crime, Mystery",1,when renowned crime novelist harlan thrombey found dead his estate just after his th birthday inquisitive debonair detective benoit blanc mysteriously enlisted investigate harlans dysfunctional family his devoted staff blanc sifts through web red herrings selfserving lies uncover truth behind harlans untimely death
Good Will Hunting,8.149,11111,"Will Hunting has a genius-level IQ but chooses to work as a janitor at MIT. When he solves a difficult graduate-level math problem, his talents are discovered by Professor Gerald Lambeau, who decides to help the misguided youth reach his potential. When Will is arrested for attacking a police officer, Professor Lambeau makes a deal to get leniency for him if he will get treatment from therapist Sean Maguire.",56.169,Drama,1,will hunting geniuslevel iq but chooses work janitor mit when he solves difficult graduatelevel math problem his talents discovered professor gerald lambeau who decides help misguided youth reach his potential when will arrested attacking police officer professor lambeau makes deal get leniency him if he will get treatment therapist sean maguire
Fifty Shades of Grey,5.882,11101,"When college senior Anastasia Steele steps in for her sick roommate to interview prominent businessman Christian Grey for their campus paper, little does she realize the path her life will take. Christian, as enigmatic as he is rich and powerful, finds himself strangely drawn to Ana, and she to him. Though sexually inexperienced, Ana plunges headlong into an affair -- and learns that Christian's true sexual proclivities push the boundaries of pain and pleasure.",96.283,"Drama, Romance, Thriller",0,when college senior anastasia steele steps her sick roommate interview prominent businessman christian grey their campus paper little does she realize path her life will take christian enigmatic he rich powerful finds himself strangely drawn ana she him though sexually inexperienced ana plunges headlong into affair learns christians true sexual proclivities push boundaries pain pleasure
The Devil Wears Prada,7.384,11089,"Andy moves to New York to work in the fashion industry. Her boss is extremely demanding, cruel and won't let her succeed if she doesn't fit into the high class elegant look of their magazine.",50.84,"Comedy, Drama, Romance",1,andy moves new york work fashion industry her boss extremely demanding cruel wont let her succeed if she doesnt fit into high class elegant look their magazine
Taxi Driver,8.2,11081,A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feed his urge for violent action.,41.36,"Crime, Drama",1,mentally unstable vietnam war veteran works nighttime taxi driver new york city where perceived decadence sleaze feed his urge violent action
A Star Is Born,7.503,11079,"Seasoned musician Jackson Maine discovers ? and falls in love with ? struggling artist Ally. She has just about given up on her dream to make it big as a singer ? until Jack coaxes her into the spotlight. But even as Ally's career takes off, the personal side of their relationship is breaking down, as Jack fights an ongoing battle with his own internal demons.",27.891,"Music, Drama, Romance",1,seasoned musician jackson maine discovers falls love struggling artist ally she just about given up her dream make big singer until jack coaxes her into spotlight but even allys career takes off personal side their relationship breaking down jack fights ongoing battle his own internal demons
Fury,7.518,11021,"In the last months of World War II, as the Allies make their final push in the European theatre, a battle-hardened U.S. Army sergeant named 'Wardaddy' commands a Sherman tank called 'Fury' and its five-man crew on a deadly mission behind enemy lines. Outnumbered and outgunned, Wardaddy and his men face overwhelming odds in their heroic attempts to strike at the heart of Nazi Germany.",90.378,"War, Drama, Action",1,last months world war ii allies make their final push european theatre battlehardened us army sergeant named wardaddy commands sherman tank called fury its fiveman crew deadly mission behind enemy lines outnumbered outgunned wardaddy his men face overwhelming odds their heroic attempts strike heart nazi germany
The Incredible Hulk,6.204,11006,"Scientist Bruce Banner scours the planet for an antidote to the unbridled force of rage within him: the Hulk. But when the military masterminds who dream of exploiting his powers force him back to civilization, he finds himself coming face to face with a new, deadly foe.",52.734,"Science Fiction, Action, Adventure",0,scientist bruce banner scours planet antidote unbridled force rage within him hulk but when military masterminds who dream exploiting his powers force him back civilization he finds himself coming face face new deadly foe
Kick-Ass,7.12,10997,"Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a super-hero, even though he has no powers, training or meaningful reason to do so.",38.557,"Action, Crime",1,dave lizewski unnoticed high school student comic book fan who one day decides become superhero even though he no powers training or meaningful reason do so
"I, Robot",6.939,10972,"In 2035, where robots are commonplace and abide by the three laws of robotics, a technophobic cop investigates an apparent suicide. Suspecting that a robot may be responsible for the death, his investigation leads him to believe that humanity may be in danger.",27.677,"Action, Science Fiction",0,where robots commonplace abide three laws robotics technophobic cop investigates apparent suicide suspecting robot may responsible death his investigation leads him believe humanity may danger
No Country for Old Men,7.933,10964,"Llewelyn Moss stumbles upon dead bodies, $2 million and a hoard of heroin in a Texas desert, but methodical killer Anton Chigurh comes looking for it, with local sheriff Ed Tom Bell hot on his trail. The roles of prey and predator blur as the violent pursuit of money and justice collide.",33.115,"Crime, Drama, Thriller",1,llewelyn moss stumbles upon dead bodies million hoard heroin texas desert but methodical killer anton chigurh comes looking local sheriff ed tom bell hot his trail roles prey predator blur violent pursuit money justice collide
Rise of the Planet of the Apes,7.289,10799,"A highly intelligent chimpanzee named Caesar has been living a peaceful suburban life ever since he was born. But when he gets taken to a cruel primate facility, Caesar decides to revolt against those who have harmed him.",38.032,"Thriller, Action, Drama, Science Fiction",1,highly intelligent chimpanzee named caesar been living peaceful suburban life ever since he born but when he gets taken cruel primate facility caesar decides revolt against those who harmed him
Ocean's Eleven,7.43,10774,"Less than 24 hours into his parole, charismatic thief Danny Ocean is already rolling out his next plan: In one night, Danny's hand-picked crew of specialists will attempt to steal more than $150 million from three Las Vegas casinos. But to score the cash, Danny risks his chances of reconciling with ex-wife, Tess.",39.17,"Thriller, Crime",1,less than hours into his parole charismatic thief danny ocean already rolling out his next plan one night dannys handpicked crew specialists will attempt steal more than million three las vegas casinos but score cash danny risks his chances reconciling exwife tess
The Sixth Sense,7.944,10754,"Following an unexpected tragedy, child psychologist Malcolm Crowe meets a nine year old boy named Cole Sear, who is hiding a dark secret.",32.836,"Mystery, Thriller, Drama",1,following unexpected tragedy child psychologist malcolm crowe meets nine year old boy named cole sear who hiding dark secret
Amélie,7.905,10750,"At a tiny Parisian café, the adorable yet painfully shy Amélie accidentally discovers a gift for helping others. Soon Amelie is spending her days as a matchmaker, guardian angel, and all-around do-gooder. But when she bumps into a handsome stranger, will she find the courage to become the star of her very own love story?",42.494,"Comedy, Romance",1,tiny parisian caf adorable yet painfully shy amlie accidentally discovers gift helping others soon amelie spending her days matchmaker guardian angel allaround dogooder but when she bumps into handsome stranger will she find courage become star her very own love story
Scarface,8.168,10749,"After getting a green card in exchange for assassinating a Cuban government official, Tony Montana stakes a claim on the drug trade in Miami. Viciously murdering anyone who stands in his way, Tony eventually becomes the biggest drug lord in the state, controlling nearly all the cocaine that comes through Miami. But increased pressure from the police, wars with Colombian drug cartels and his own drug-fueled paranoia serve to fuel the flames of his eventual downfall.",54.199,"Action, Crime, Drama",1,after getting green card exchange assassinating cuban government official tony montana stakes claim drug trade miami viciously murdering anyone who stands his way tony eventually becomes biggest drug lord state controlling nearly all cocaine comes through miami but increased pressure police wars colombian drug cartels his own drugfueled paranoia serve fuel flames his eventual downfall
Prisoners,8.091,10748,"Keller Dover faces a parent's worst nightmare when his 6-year-old daughter, Anna, and her friend go missing. The only lead is an old motorhome that had been parked on their street. The head of the investigation, Detective Loki, arrests the driver, but a lack of evidence forces Loki to release his only suspect. Dover, knowing that his daughter's life is at stake, decides that he has no choice but to take matters into his own hands.",35.085,"Drama, Thriller, Crime",1,keller dover faces parents worst nightmare when his yearold daughter anna her friend go missing only lead old motorhome been parked their street head investigation detective loki arrests driver but lack evidence forces loki release his only suspect dover knowing his daughters life stake decides he no choice but take matters into his own hands
American History X,8.352,10729,"Derek Vineyard is paroled after serving 3 years in prison for killing two African-American men. Through his brother, Danny Vineyard's narration, we learn that before going to prison, Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout L.A. and his actions greatly influenced Danny. Reformed and fresh out of prison, Derek severs contact with the gang and becomes determined to keep Danny from going down the same violent path as he did.",36.427,Drama,1,derek vineyard paroled after serving years prison killing two africanamerican men through his brother danny vineyards narration we learn before going prison derek skinhead leader violent white supremacist gang committed acts racial crime throughout la his actions greatly influenced danny reformed fresh out prison derek severs contact gang becomes determined keep danny going down same violent path he did
The Conjuring,7.541,10683,"Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse. Forced to confront a powerful entity, the Warrens find themselves caught in the most terrifying case of their lives.",105.394,"Horror, Thriller",1,paranormal investigators ed lorraine warren work help family terrorized dark presence their farmhouse forced confront powerful entity warrens find themselves caught most terrifying case their lives
The Fault in Our Stars,7.598,10655,"Despite the tumor-shrinking medical miracle that has bought her a few years, Hazel has never been anything but terminal, her final chapter inscribed upon diagnosis. But when a patient named Augustus Waters suddenly appears at Cancer Kid Support Group, Hazel's story is about to be completely rewritten.",30.209,"Romance, Drama",1,despite tumorshrinking medical miracle bought her few years hazel never been anything but terminal her final chapter inscribed upon diagnosis but when patient named augustus waters suddenly appears cancer kid support group hazels story about completely rewritten
The Notebook,7.88,10629,"An epic love story centered around an older man who reads aloud to a woman with Alzheimer's. From a faded notebook, the old man's words bring to life the story about a couple who is separated by World War II, and is then passionately reunited, seven years later, after they have taken different paths.",55.483,"Romance, Drama",1,epic love story centered around older man who reads aloud woman alzheimers faded notebook old mans words bring life story about couple who separated world war ii then passionately reunited seven years later after they taken different paths
12 Years a Slave,7.945,10603,"In the pre-Civil War United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery. Facing cruelty as well as unexpected kindnesses Solomon struggles not only to stay alive, but to retain his dignity. In the twelfth year of his unforgettable odyssey, Solomon?s chance meeting with a Canadian abolitionist will forever alter his life.",34.808,"Drama, History",1,precivil war united states solomon northup free black man upstate new york abducted sold into slavery facing cruelty well unexpected kindnesses solomon struggles not only stay alive but retain his dignity twelfth year his unforgettable odyssey solomons chance meeting canadian abolitionist will forever alter his life
2001: A Space Odyssey,8.076,10575,"Humanity finds a mysterious object buried beneath the lunar surface and sets off to find its origins with the help of HAL 9000, the world's most advanced super computer.",48.932,"Science Fiction, Mystery, Adventure",1,humanity finds mysterious object buried beneath lunar surface sets off find its origins help hal worlds most advanced super computer
In Time,6.953,10556,"In the not-too-distant future the aging gene has been switched off. To avoid overpopulation, time has become the currency and the way people pay for luxuries and necessities. The rich can live forever, while the rest try to negotiate for their immortality. A poor young man who comes into a fortune of time, though too late to help his mother from dying. He ends up on the run from a corrupt police force known as 'time keepers'.",67.242,"Action, Thriller, Science Fiction",0,nottoodistant future aging gene been switched off avoid overpopulation time become currency way people pay luxuries necessities rich can live forever while rest try negotiate their immortality poor young man who comes into fortune time though too late help his mother dying he ends up run corrupt police force known time keepers
Aladdin,7.645,10547,"Princess Jasmine grows tired of being forced to remain in the palace, so she sneaks out into the marketplace, in disguise, where she meets street urchin Aladdin. The couple falls in love, although Jasmine may only marry a prince. After being thrown in jail, Aladdin becomes embroiled in a plot to find a mysterious lamp, with which the evil Jafar hopes to rule the land.",52.027,"Animation, Family, Adventure, Fantasy, Romance",1,princess jasmine grows tired being forced remain palace so she sneaks out into marketplace disguise where she meets street urchin aladdin couple falls love although jasmine may only marry prince after being thrown jail aladdin becomes embroiled plot find mysterious lamp which evil jafar hopes rule land
Green Book,8.242,10542,"Tony Lip, a bouncer in 1962, is hired to drive pianist Don Shirley on a tour through the Deep South in the days when African Americans, forced to find alternate accommodations and services due to segregation laws below the Mason-Dixon Line, relied on a guide called The Negro Motorist Green Book.",34.768,"Drama, Comedy",1,tony lip bouncer hired drive pianist don shirley tour through deep south days when african americans forced find alternate accommodations services due segregation laws below masondixon line relied guide called negro motorist green book
Tangled,7.599,10539,"When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs.",84.14,"Animation, Family",1,when kingdoms most wantedand most charmingbandit flynn rider hides out mysterious tower hes taken hostage rapunzel beautiful feisty towerbound teen feet magical golden hair flynns curious captor whos looking her ticket out tower where shes been locked away years strikes deal handsome thief unlikely duo sets off actionpacked escapade complete supercop horse overprotective chameleon gruff gang pub thugs
Cast Away,7.662,10531,"Chuck Nolan, a top international manager for FedEx, and Kelly, a Ph.D. student, are in love and heading towards marriage. Then Chuck's plane to Malaysia crashes at sea during a terrible storm. He's the only survivor, and finds himself marooned on a desolate island. With no way to escape, Chuck must find ways to survive in his new home.",32.387,"Adventure, Drama",1,chuck nolan top international manager fedex kelly phd student love heading towards marriage then chucks plane malaysia crashes sea during terrible storm hes only survivor finds himself marooned desolate island no way escape chuck must find ways survive his new home
X-Men,6.996,10530,"Two mutants, Rogue and Wolverine, come to a private academy for their kind whose resident superhero team, the X-Men, must oppose a terrorist organization with similar powers.",1.259,"Adventure, Action, Science Fiction",0,two mutants rogue wolverine come private academy their kind whose resident superhero team xmen must oppose terrorist organization similar powers
Despicable Me 2,6.916,10523,Gru is recruited by the Anti-Villain League to help deal with a powerful new super criminal.,46.283,"Animation, Comedy, Family",0,gru recruited antivillain league help deal powerful new super criminal
Kung Fu Panda,7.24,10503,"When the Valley of Peace is threatened, lazy Po the panda discovers his destiny as the ""chosen one"" and trains to become a kung fu hero, but transforming the unsleek slacker into a brave warrior won't be easy. It's up to Master Shifu and the Furious Five -- Tigress, Crane, Mantis, Viper and Monkey -- to give it a try.",52.866,"Action, Adventure, Animation, Family, Comedy",1,when valley peace threatened lazy po panda discovers his destiny chosen one trains become kung fu hero but transforming unsleek slacker into brave warrior wont easy its up master shifu furious five tigress crane mantis viper monkey give try
Transformers,6.8,10477,Young teenager Sam Witwicky becomes involved in the ancient struggle between two extraterrestrial factions of transforming robots ? the heroic Autobots and the evil Decepticons. Sam holds the clue to unimaginable power and the Decepticons will stop at nothing to retrieve it.,10.172,"Adventure, Science Fiction, Action",0,young teenager sam witwicky becomes involved ancient struggle between two extraterrestrial factions transforming robots heroic autobots evil decepticons sam holds clue unimaginable power decepticons will stop nothing retrieve
E.T. the Extra-Terrestrial,7.512,10467,"An alien is left behind on Earth and saved by the 10-year-old Elliot who decides to keep him hidden in his home. While a task force hunts for the extra-terrestrial, Elliot, his brother, and his little sister Gertie form an emotional bond with their new friend, and try to help him find his way home.",50.334,"Science Fiction, Adventure, Family, Fantasy",1,alien left behind earth saved yearold elliot who decides keep him hidden his home while task force hunts extraterrestrial elliot his brother his little sister gertie form emotional bond their new friend try help him find his way home
Taken,7.387,10432,"While vacationing with a friend in Paris, an American girl is kidnapped by a gang of human traffickers intent on selling her into forced prostitution. Working against the clock, her ex-spy father must pull out all the stops to save her. But with his best years possibly behind him, the job may be more than he can handle.",58.646,"Action, Thriller",1,while vacationing friend paris american girl kidnapped gang human traffickers intent selling her into forced prostitution working against clock her exspy father must pull out all stops save her but his best years possibly behind him job may more than he can handle
Jurassic World: Fallen Kingdom,6.548,10431,"Three years after Jurassic World was destroyed, Isla Nublar now sits abandoned. When the island's dormant volcano begins roaring to life, Owen and Claire mount a campaign to rescue the remaining dinosaurs from this extinction-level event.",44.365,"Action, Adventure, Science Fiction, Thriller",0,three years after jurassic world destroyed isla nublar now sits abandoned when islands dormant volcano begins roaring life owen claire mount campaign rescue remaining dinosaurs extinctionlevel event
The Big Lebowski,7.842,10390,"Jeffrey 'The Dude' Lebowski, a Los Angeles slacker who only wants to bowl and drink White Russians, is mistaken for another Jeffrey Lebowski, a wheelchair-bound millionaire, and finds himself dragged into a strange series of events involving nihilists, adult film producers, ferrets, errant toes, and large sums of money.",30.996,"Comedy, Crime",1,jeffrey dude lebowski los angeles slacker who only wants bowl drink white russians mistaken another jeffrey lebowski wheelchairbound millionaire finds himself dragged into strange series events involving nihilists adult film producers ferrets errant toes large sums money
Dawn of the Planet of the Apes,7.306,10321,"A group of scientists in San Francisco struggle to stay alive in the aftermath of a plague that is wiping out humanity, while Caesar tries to maintain dominance over his community of intelligent apes.",59.336,"Science Fiction, Action, Drama, Thriller",1,group scientists san francisco struggle stay alive aftermath plague wiping out humanity while caesar tries maintain dominance over his community intelligent apes
Dead Poets Society,8.312,10311,"At an elite, old-fashioned boarding school in New England, a passionate English teacher inspires his students to rebel against convention and seize the potential of every day, courting the disdain of the stern headmaster.",38.942,Drama,1,elite oldfashioned boarding school new england passionate english teacher inspires his students rebel against convention seize potential every day courting disdain stern headmaster
Your Name.,8.514,10303,"High schoolers Mitsuha and Taki are complete strangers living separate lives. But one night, they suddenly switch places. Mitsuha wakes up in Taki?s body, and he in hers. This bizarre occurrence continues to happen randomly, and the two must adjust their lives around each other.",68.999,"Romance, Animation, Drama",1,high schoolers mitsuha taki complete strangers living separate lives but one night they suddenly switch places mitsuha wakes up takis body he hers bizarre occurrence continues happen randomly two must adjust their lives around each other
Fantastic Beasts: The Crimes of Grindelwald,6.876,10203,"Gellert Grindelwald has escaped imprisonment and has begun gathering followers to his cause?elevating wizards above all non-magical beings. The only one capable of putting a stop to him is the wizard he once called his closest friend, Albus Dumbledore. However, Dumbledore will need to seek help from the wizard who had thwarted Grindelwald once before, his former student Newt Scamander, who agrees to help, unaware of the dangers that lie ahead. Lines are drawn as love and loyalty are tested, even among the truest friends and family, in an increasingly divided wizarding world.",29.783,"Fantasy, Adventure, Family",0,gellert grindelwald escaped imprisonment begun gathering followers his causeelevating wizards above all nonmagical beings only one capable putting stop him wizard he once called his closest friend albus dumbledore however dumbledore will need seek help wizard who thwarted grindelwald once before his former student newt scamander who agrees help unaware dangers lie ahead lines drawn love loyalty tested even among truest friends family increasingly divided wizarding world
Die Hard,7.775,10202,"NYPD cop John McClane's plan to reconcile with his estranged wife is thrown for a serious loop when, minutes after he arrives at her office, the entire building is overtaken by a group of terrorists. With little help from the LAPD, wisecracking McClane sets out to single-handedly rescue the hostages and bring the bad guys down.",36.754,"Action, Thriller",1,nypd cop john mcclanes plan reconcile his estranged wife thrown serious loop when minutes after he arrives her office entire building overtaken group terrorists little help lapd wisecracking mcclane sets out singlehandedly rescue hostages bring bad guys down
Now You See Me 2,6.83,10172,"One year after outwitting the FBI and winning the public?s adulation with their mind-bending spectacles, the Four Horsemen resurface only to find themselves face to face with a new enemy who enlists them to pull off their most dangerous heist yet.",33.753,"Crime, Thriller, Action, Mystery",0,one year after outwitting fbi winning publics adulation their mindbending spectacles four horsemen resurface only find themselves face face new enemy who enlists them pull off their most dangerous heist yet
Home Alone,7.412,10140,"Eight-year-old Kevin McCallister makes the most of the situation after his family unwittingly leaves him behind when they go on Christmas vacation. But when a pair of bungling burglars set their sights on Kevin's house, the plucky kid stands ready to defend his territory. By planting booby traps galore, adorably mischievous Kevin stands his ground as his frantic mother attempts to race home before Christmas Day.",1.826,"Comedy, Family",1,eightyearold kevin mccallister makes most situation after his family unwittingly leaves him behind when they go christmas vacation but when pair bungling burglars set their sights kevins house plucky kid stands ready defend his territory planting booby traps galore adorably mischievous kevin stands his ground his frantic mother attempts race home before christmas day
The Matrix Reloaded,7.039,10128,"Six months after the events depicted in The Matrix, Neo has proved to be a good omen for the free humans, as more and more humans are being freed from the matrix and brought to Zion, the one and only stronghold of the Resistance.  Neo himself has discovered his superpowers including super speed, ability to see the codes of the things inside the matrix and a certain degree of pre-cognition. But a nasty piece of news hits the human resistance: 250,000 machine sentinels are digging to Zion and would reach them in 72 hours. As Zion prepares for the ultimate war, Neo, Morpheus and Trinity are advised by the Oracle to find the Keymaker who would help them reach the Source.  Meanwhile Neo's recurrent dreams depicting Trinity's death have got him worried and as if it was not enough, Agent Smith has somehow escaped deletion, has become more powerful than before and has fixed Neo as his next target.",44.605,"Adventure, Action, Thriller, Science Fiction",1,six months after events depicted matrix neo proved good omen free humans more more humans being freed matrix brought zion one only stronghold resistance neo himself discovered his superpowers including super speed ability see codes things inside matrix certain degree precognition but nasty piece news hits human resistance machine sentinels digging zion would reach them hours zion prepares ultimate war neo morpheus trinity advised oracle find keymaker who would help them reach source meanwhile neos recurrent dreams depicting trinitys death got him worried if not enough agent smith somehow escaped deletion become more powerful than before fixed neo his next target
Madagascar,6.892,10103,"Alex the lion is the king of the urban jungle, the main attraction at New York's Central Park Zoo. He and his best friends?Marty the zebra, Melman the giraffe and Gloria the hippo?have spent their whole lives in blissful captivity before an admiring public and with regular meals provided for them. Not content to leave well enough alone, Marty lets his curiosity get the better of him and makes his escape?with the help of some prodigious penguins?to explore the world.",54.83,"Family, Animation, Adventure, Comedy",0,alex lion king urban jungle main attraction new yorks central park zoo he his best friendsmarty zebra melman giraffe gloria hippohave spent their whole lives blissful captivity before admiring public regular meals provided them not content leave well enough alone marty lets his curiosity get better him makes his escapewith help some prodigious penguinsto explore world
The Theory of Everything,7.86,10069,"The Theory of Everything is the extraordinary story of one of the world?s greatest living minds, the renowned astrophysicist Stephen Hawking, who falls deeply in love with fellow Cambridge student Jane Wilde.",20.867,"Drama, Romance",1,theory everything extraordinary story one worlds greatest living minds renowned astrophysicist stephen hawking who falls deeply love fellow cambridge student jane wilde
Nightcrawler,7.703,10032,"When Lou Bloom, desperate for work, muscles into the world of L.A. crime journalism, he blurs the line between observer and participant to become the star of his own story. Aiding him in his effort is Nina, a TV-news veteran.",44.274,"Crime, Drama, Thriller",1,when lou bloom desperate work muscles into world la crime journalism he blurs line between observer participant become star his own story aiding him his effort nina tvnews veteran
Fast & Furious 6,6.817,10021,"Hobbs has Dominic and Brian reassemble their crew to take down a team of mercenaries; Dominic unexpectedly gets sidetracked with facing his presumed deceased girlfriend, Letty.",6.263,"Action, Thriller, Crime",0,hobbs dominic brian reassemble their crew take down team mercenaries dominic unexpectedly gets sidetracked facing his presumed deceased girlfriend letty
Oblivion,6.618,10015,"Jack Harper is one of the last few drone repairmen stationed on Earth. Part of a massive operation to extract vital resources after decades of war with a terrifying threat known as the Scavs, Jack?s mission is nearly complete. His existence is brought crashing down when he rescues a beautiful  stranger from a downed spacecraft. Her arrival triggers a chain of events that  forces him to question everything he knows and puts the fate of humanity in his hands.",30.901,"Action, Science Fiction, Adventure, Mystery",0,jack harper one last few drone repairmen stationed earth part massive operation extract vital resources after decades war terrifying threat known scavs jacks mission nearly complete his existence brought crashing down when he rescues beautiful stranger downed spacecraft her arrival triggers chain events forces him question everything he knows puts fate humanity his hands
Bruce Almighty,6.706,10010,"Bruce Nolan toils as a 'human interest' television reporter in Buffalo, N.Y., but despite his high ratings and the love of his beautiful girlfriend, Bruce remains unfulfilled. At the end of the worst day in his life, he angrily ridicules God?and the Almighty responds, endowing Bruce with all of His divine powers.",33.909,"Fantasy, Comedy",0,bruce nolan toils human interest television reporter buffalo ny but despite his high ratings love his beautiful girlfriend bruce remains unfulfilled end worst day his life he angrily ridicules godand almighty responds endowing bruce all his divine powers
Gran Torino,7.994,10003,"Disgruntled Korean War veteran Walt Kowalski sets out to reform his neighbor, Thao Lor, a Hmong teenager who tried to steal Kowalski's prized possession: a 1972 Gran Torino.",35.849,Drama,1,disgruntled korean war veteran walt kowalski sets out reform his neighbor thao lor hmong teenager who tried steal kowalskis prized possession gran torino
Furious 7,7.238,9988,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,62.276,"Action, Thriller, Crime",1,deckard shaw seeks revenge against dominic toretto his family his comatose brother
Minions,6.395,9969,"Minions Stuart, Kevin and Bob are recruited by Scarlet Overkill, a super-villain who, alongside her inventor husband Herb, hatches a plot to take over the world.",26.414,"Family, Animation, Adventure, Comedy",0,minions stuart kevin bob recruited scarlet overkill supervillain who alongside her inventor husband herb hatches plot take over world
Casino Royale,7.543,9959,"Le Chiffre, a banker to the world's terrorists, is scheduled to participate in a high-stakes poker game in Montenegro, where he intends to use his winnings to establish his financial grip on the terrorist market. M sends Bond?on his maiden mission as a 00 Agent?to attend this game and prevent Le Chiffre from winning. With the help of Vesper Lynd and Felix Leiter, Bond enters the most important poker game in his already dangerous career.",43.407,"Adventure, Action, Thriller",1,le chiffre banker worlds terrorists scheduled participate highstakes poker game montenegro where he intends use his winnings establish his financial grip terrorist market m sends bondon his maiden mission agentto attend game prevent le chiffre winning help vesper lynd felix leiter bond enters most important poker game his already dangerous career
The Fifth Element,7.53,9947,"In 2257, a taxi driver is unintentionally given the task of saving a young girl who is part of the key that will ensure the survival of humanity.",49.67,"Adventure, Fantasy, Action, Thriller, Science Fiction",1,taxi driver unintentionally given task saving young girl who part key will ensure survival humanity
Slumdog Millionaire,7.734,9916,A teenager reflects on his life after being accused of cheating on the Indian version of "Who Wants to be a Millionaire?".,22.969,"Drama, Romance",1,teenager reflects his life after being accused cheating indian version who wants millionaire
Monsters University,7,9903,A look at the relationship between Mike and Sulley during their days at Monsters University ? when they weren't necessarily the best of friends.,44.116,"Animation, Family",1,look relationship between mike sulley during their days monsters university when they werent necessarily best friends
Limitless,7.186,9900,A paranoia-fueled action thriller about an unsuccessful writer whose life is transformed by a top-secret "smart drug" that allows him to use 100% of his brain and become a perfect version of himself. His enhanced abilities soon attract shadowy forces that threaten his new life in this darkly comic and provocative film.,33.384,"Thriller, Mystery, Science Fiction",1,paranoiafueled action thriller about unsuccessful writer whose life transformed topsecret smart drug allows him use his brain become perfect version himself his enhanced abilities soon attract shadowy forces threaten his new life darkly comic provocative film
Spectre,6.533,9893,"A cryptic message from Bond?s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.",33.598,"Action, Adventure, Thriller",0,cryptic message bonds past sends him trail uncover sinister organization while m battles political forces keep secret service alive bond peels back layers deceit reveal terrible truth behind spectre
The Perks of Being a Wallflower,7.8,9844,"Pittsburgh, Pennsylvania, 1991. High school freshman Charlie is a wallflower, always watching life from the sidelines, until two senior students, Sam and her stepbrother Patrick, become his mentors, helping him discover the joys of friendship, music and love.",40.616,Drama,1,pittsburgh pennsylvania high school freshman charlie wallflower always watching life sidelines until two senior students sam her stepbrother patrick become his mentors helping him discover joys friendship music love
